name, nr_of_swaps, nr_of_comparison, time_secondsselectSort, 100, 99, 4950, 0.000000
quickSort, 6800, 50840, 96329, 0.001000
selectSort, 6900, 6899, 23801550, 0.049000
insertionSort, 6900, 11869000, 11862101, 0.030000
heapSort, 6900, 82131, 171162, 0.001000
quickSort, 6900, 55845, 99198, 0.001000
selectSort, 7000, 6999, 24496500, 0.051000
insertionSort, 7000, 12312299, 12305300, 0.031000
heapSort, 7000, 83382, 173764, 0.002000
quickSort, 7000, 57110, 103138, 0.000000
selectSort, 7100, 7099, 25201450, 0.053000
insertionSort, 7100, 12800923, 12793824, 0.033000
heapSort, 7100, 84572, 176244, 0.001000
quickSort, 7100, 50648, 106767, 0.001000
selectSort, 7200, 7199, 25916400, 0.053000
insertionSort, 7200, 13033494, 13026295, 0.033000
heapSort, 7200, 86033, 179266, 0.002000
quickSort, 7200, 58073, 103557, 0.001000
selectSort, 7300, 7299, 26641350, 0.055000
insertionSort, 7300, 13309204, 13301905, 0.034000
heapSort, 7300, 87281, 181862, 0.001000
quickSort, 7300, 70504, 113086, 0.001000
selectSort, 7400, 7399, 27376300, 0.057000
insertionSort, 7400, 13539889, 13532490, 0.034000
heapSort, 7400, 88704, 184808, 0.001000
quickSort, 7400, 61572, 112149, 0.001000
selectSort, 7500, 7499, 28121250, 0.058000
insertionSort, 7500, 14319635, 14312136, 0.038000
heapSort, 7500, 89824, 187148, 0.001000
quickSort, 7500, 58131, 111836, 0.001000
selectSort, 7600, 7599, 28876200, 0.062000
insertionSort, 7600, 14392407, 14384808, 0.037000
heapSort, 7600, 91286, 190172, 0.002000
quickSort, 7600, 62997, 109893, 0.000000
selectSort, 7700, 7699, 29641150, 0.062000
insertionSort, 7700, 14709376, 14701677, 0.038000
heapSort, 7700, 92747, 193194, 0.001000
quickSort, 7700, 67305, 136192, 0.001000
selectSort, 7800, 7799, 30416100, 0.063000
insertionSort, 7800, 15237187, 15229388, 0.039000
heapSort, 7800, 93914, 195628, 0.001000
quickSort, 7800, 63603, 117082, 0.001000
selectSort, 7900, 7899, 31201050, 0.065000
insertionSort, 7900, 15550938, 15543039, 0.040000
heapSort, 7900, 95255, 198410, 0.001000
quickSort, 7900, 69608, 137659, 0.001000
selectSort, 8000, 7999, 31996000, 0.066000
insertionSort, 8000, 15863267, 15855268, 0.041000
heapSort, 8000, 96788, 201576, 0.001000
quickSort, 8000, 62808, 116458, 0.001000
selectSort, 8100, 8099, 32800950, 0.069000
insertionSort, 8100, 16434292, 16426193, 0.043000
heapSort, 8100, 97987, 204074, 0.002000
quickSort, 8100, 75860, 131367, 0.001000
selectSort, 8200, 8199, 33615900, 0.071000
insertionSort, 8200, 16760255, 16752056, 0.044000
heapSort, 8200, 99286, 206772, 0.002000
quickSort, 8200, 76633, 124106, 0.001000
selectSort, 8300, 8299, 34440850, 0.073000
insertionSort, 8300, 17319614, 17311315, 0.045000
heapSort, 8300, 100623, 209546, 0.002000
quickSort, 8300, 63480, 119147, 0.001000
selectSort, 8400, 8399, 35275800, 0.073000
insertionSort, 8400, 17692861, 17684462, 0.047000
heapSort, 8400, 102108, 212616, 0.002000
quickSort, 8400, 68734, 139112, 0.001000
selectSort, 8500, 8499, 36120750, 0.076000
insertionSort, 8500, 18221343, 18212844, 0.047000
heapSort, 8500, 103402, 215304, 0.002000
quickSort, 8500, 69499, 122979, 0.001000
selectSort, 8600, 8599, 36975700, 0.078000
insertionSort, 8600, 18426228, 18417629, 0.048000
heapSort, 8600, 104829, 218258, 0.002000
quickSort, 8600, 73645, 129533, 0.001000
selectSort, 8700, 8699, 37840650, 0.079000
insertionSort, 8700, 18871478, 18862779, 0.048000
heapSort, 8700, 106171, 221042, 0.001000
quickSort, 8700, 73678, 127790, 0.001000
selectSort, 8800, 8799, 38715600, 0.081000
insertionSort, 8800, 19485944, 19477145, 0.050000
heapSort, 8800, 107569, 223938, 0.002000
quickSort, 8800, 77353, 132639, 0.001000
selectSort, 8900, 8899, 39600550, 0.083000
insertionSort, 8900, 19774747, 19765848, 0.052000
heapSort, 8900, 108860, 226620, 0.002000
quickSort, 8900, 79202, 141397, 0.001000
selectSort, 9000, 8999, 40495500, 0.084000
insertionSort, 9000, 20420529, 20411530, 0.053000
heapSort, 9000, 110326, 229652, 0.001000
quickSort, 9000, 75364, 135492, 0.001000
selectSort, 9100, 9099, 41400450, 0.086000
insertionSort, 9100, 20626889, 20617790, 0.053000
heapSort, 9100, 111686, 232472, 0.001000
quickSort, 9100, 73575, 134183, 0.001000
selectSort, 9200, 9199, 42315400, 0.089000
insertionSort, 9200, 20968943, 20959744, 0.054000
heapSort, 9200, 113122, 235444, 0.002000
quickSort, 9200, 93146, 146016, 0.001000
selectSort, 9300, 9299, 43240350, 0.089000
insertionSort, 9300, 22071927, 22062628, 0.056000
heapSort, 9300, 114340, 237980, 0.002000
quickSort, 9300, 70408, 136437, 0.001000
selectSort, 9400, 9399, 44175300, 0.092000
insertionSort, 9400, 22074553, 22065154, 0.058000
heapSort, 9400, 115744, 240888, 0.002000
quickSort, 9400, 82793, 141524, 0.001000
selectSort, 9500, 9499, 45120250, 0.095000
insertionSort, 9500, 22451311, 22441812, 0.058000
heapSort, 9500, 117346, 244192, 0.002000
quickSort, 9500, 72663, 152563, 0.001000
selectSort, 9600, 9599, 46075200, 0.095000
insertionSort, 9600, 23406392, 23396793, 0.060000
heapSort, 9600, 118407, 246414, 0.001000
quickSort, 9600, 89236, 147705, 0.001000
selectSort, 9700, 9699, 47040150, 0.098000
insertionSort, 9700, 23697494, 23687795, 0.060000
heapSort, 9700, 120011, 249722, 0.002000
quickSort, 9700, 75734, 151688, 0.001000
selectSort, 9800, 9799, 48015100, 0.099000
insertionSort, 9800, 23916096, 23906297, 0.063000
heapSort, 9800, 121581, 252962, 0.001000
quickSort, 9800, 84642, 155390, 0.002000
selectSort, 9900, 9899, 49000050, 0.101000
insertionSort, 9900, 24430432, 24420533, 0.063000
heapSort, 9900, 122879, 255658, 0.002000
quickSort, 9900, 86477, 158523, 0.001000
selectSort, 10000, 9999, 49995000, 0.105000
insertionSort, 10000, 25163783, 25153784, 0.065000
